One byte keycodes:

kSqrQ             fd7b
kSqrR             fd7c
kSqrS             fd7d
kSquareT          fd7e
kSqrU             fd7f
kSqrV             fd80
kSqrW             fd81
kSqrX             fd82
kSqrY             fd83
kSqrZ             fd84
kSqrPgUp          fd85
kSqrPgDn          fd86
kSqrLeft          fd87
kSqrRight         fd88
kSqrUp            fd89
kSqrDn            fd8a
